rank,strategy,algorithm,top_k_classes,precision@1,recall@1,f1@1,hit@1,precision@3,recall@3,f1@3,hit@3,precision@5,recall@5,f1@5,hit@5,mrr
1,classify_only_top1,svm,1,0.7483443708609272,0.0242217376305074,0.0460134441460124,0.7483443708609272,0.7483443708609272,0.0726652128915224,0.1260660117386347,0.7483443708609272,0.7483443708609272,0.1211086881525374,0.1941995385252985,0.7483443708609272,0.7483443708609272
2,hybrid_top1,svm,1,0.7483443708609272,0.0242217376305074,0.0460134441460124,0.7483443708609272,0.7483443708609272,0.0726652128915224,0.1260660117386347,0.7483443708609272,0.7483443708609272,0.1211086881525374,0.1941995385252985,0.7483443708609272,0.7483443708609272
3,classify_only_top1,logistic_regression,1,0.7350993377483444,0.0235704712561137,0.044789682492275,0.7350993377483444,0.7350993377483444,0.0707114137683411,0.122789938618261,0.7350993377483444,0.7350993377483444,0.1178523562805686,0.189267590500475,0.7350993377483444,0.7350993377483444
4,hybrid_top1,logistic_regression,1,0.7350993377483444,0.0235704712561137,0.044789682492275,0.7350993377483444,0.7350993377483444,0.0707114137683411,0.122789938618261,0.7350993377483444,0.7350993377483444,0.1178523562805686,0.189267590500475,0.7350993377483444,0.7350993377483444
5,hybrid_top2,svm,2,0.695364238410596,0.0225398126196328,0.0427959511536953,0.695364238410596,0.6777041942604858,0.0661796965634769,0.1149476355724665,0.7814569536423841,0.6715231788079468,0.1086357329751437,0.1744114599098024,0.8145695364238411,0.7434878587196468
6,hybrid_top2,logistic_regression,2,0.6887417218543046,0.0224312467744477,0.0425823215873633,0.6887417218543046,0.6754966887417221,0.0661868311171919,0.1147521063800868,0.7748344370860927,0.672847682119205,0.1079649862915491,0.1734879223666276,0.8145695364238411,0.7385209713024282
7,classify_only_top1,knn,1,0.6754966887417219,0.0211562609734584,0.0402625384532596,0.6754966887417219,0.6754966887417219,0.0634687829203751,0.1106320946847788,0.6754966887417219,0.6754966887417219,0.105781304867292,0.1708171134698342,0.6754966887417219,0.6754966887417219
8,hybrid_top1,knn,1,0.6754966887417219,0.0211562609734584,0.0402625384532596,0.6754966887417219,0.6754966887417219,0.0634687829203751,0.1106320946847788,0.6754966887417219,0.6754966887417219,0.105781304867292,0.1708171134698342,0.6754966887417219,0.6754966887417219
9,hybrid_top3,svm,3,0.6754966887417219,0.022191400552112,0.0421128520878977,0.6754966887417219,0.6556291390728478,0.0640615758850325,0.1111441422849838,0.7880794701986755,0.643708609271523,0.1035038640971179,0.1661851850244877,0.8344370860927153,0.7379690949227372
10,classify_only_top1,random_forest,1,0.6688741721854304,0.020569804946839,0.0391410813889653,0.6688741721854304,0.6688741721854304,0.0617094148405171,0.107536414890633,0.6688741721854304,0.6688741721854304,0.1028490247341954,0.1660364752418882,0.6688741721854304,0.6688741721854304
11,hybrid_top1,random_forest,1,0.6688741721854304,0.020569804946839,0.0391410813889653,0.6688741721854304,0.6688741721854304,0.0617094148405171,0.107536414890633,0.6688741721854304,0.6688741721854304,0.1028490247341954,0.1660364752418882,0.6688741721854304,0.6688741721854304
12,hybrid_top3,logistic_regression,3,0.6754966887417219,0.022191400552112,0.0421128520878977,0.6754966887417219,0.6512141280353202,0.0639395334452401,0.1109026288096041,0.7947019867549668,0.6476821192052977,0.1029116146556664,0.1659862393785221,0.8410596026490066,0.7390728476821191
13,hybrid_top3,random_forest,3,0.6622516556291391,0.0215040556934081,0.0408118760351255,0.6622516556291391,0.6467991169977926,0.0620483102245495,0.1077265470352678,0.7748344370860927,0.6357615894039734,0.1017150356804639,0.1631396347120856,0.8145695364238411,0.7194260485651214
14,hybrid_top3,knn,3,0.6688741721854304,0.0220828347069269,0.0418992225215657,0.6688741721854304,0.653421633554084,0.0642843472281723,0.1113941346891626,0.7880794701986755,0.6331125827814565,0.1014432667918811,0.163089944963871,0.8410596026490066,0.7345474613686533
15,hybrid_top2,knn,2,0.6622516556291391,0.021350975460592,0.0406130568411655,0.6622516556291391,0.6490066225165565,0.0632346494891074,0.1098072880750797,0.7549668874172185,0.6317880794701982,0.0998117494553325,0.1611367482063991,0.7947019867549668,0.7161147902869758
16,hybrid_top2,random_forest,2,0.6423841059602649,0.020293628515885,0.0385941777331314,0.6423841059602649,0.6467991169977926,0.0617494181714081,0.1074750022485553,0.7218543046357616,0.6317880794701985,0.0994663613076924,0.1605100182049833,0.7483443708609272,0.6847682119205297
17,cosine_only,,0,0.6556291390728477,0.0216949283891135,0.0411456990031415,0.6556291390728477,0.6291390728476822,0.0628399836239392,0.1086958533522709,0.7880794701986755,0.6092715231788076,0.0987832127103273,0.1586502022995963,0.8543046357615894,0.7298013245033113
18,hybrid_top3,decision_tree,3,0.543046357615894,0.0159898865850354,0.0306035228936698,0.543046357615894,0.5320088300220751,0.0463653292035474,0.0820122636616158,0.5894039735099338,0.5205298013245033,0.0758226401674935,0.1249674327050319,0.5894039735099338,0.5629139072847681
19,hybrid_top1,decision_tree,1,0.4768211920529801,0.0152088311890971,0.0290489046123277,0.4768211920529801,0.4724061810154526,0.0452779400643288,0.079571774425466,0.4768211920529801,0.4728476821192053,0.0755213256910418,0.1233191656283441,0.4768211920529801,0.4768211920529801
20,classify_only_top1,decision_tree,1,0.4701986754966887,0.0150345544376158,0.0287092883786718,0.4701986754966887,0.4701986754966887,0.0451036633128474,0.0792487248373542,0.4701986754966887,0.4701986754966887,0.0751727721880791,0.122703117576596,0.4701986754966887,0.4701986754966887
21,hybrid_top2,decision_tree,2,0.543046357615894,0.0156813118768528,0.0300078210367681,0.543046357615894,0.5209713024282561,0.0452035726814866,0.079871468474463,0.5562913907284768,0.5152317880794701,0.0743219222216071,0.12237726765329,0.5562913907284768,0.5485651214128034
